userName;score;content;;;
Siti Muthoharoh;1;Driver pd sombong ngelunjak ga mau ap dikasih rezeki. Udh harga dr apk segitu eh malah ngelunjak minta +,+,+,+,+, hadeh.. mending apk sebelah grab/gojek harga sdh tertera & pasti misal 30 y ttp 30. Ini udh 30 eh minta 40 hadeh padahal jrk yg w minta deket dr lokasi w. Kecuali kalau jauh its ok lah dg harga segitu. bnr2 tdk bisa di andalkan. ini pun w rekomendasi dr tmn kalau tdk w sdh uninstall ni apk;;;
slamet efendy yusuf;1;Terlalu sering update tapi tanpa notifikasi, dan gak ada perubahan yang berarti,order juga semakin minim... HAPUS EDIT HARGA...! Karena sangat merugikan driver...!!! Seharusnya kalau penumpang edit harga, hanya masuk ke lelang driver yang tidak autobid biar sama-sama tawar menawar harga.. Dan penumpang yang tidak edit harga harusnya otomatis masuk lelang driver yang autobid itu baru benar.. Semoga bisa dipertimbangkan dan dijalankan sedikit saran dari salah satu driver ini... Terimakasih...;;;
Setyo Budi;5;Aplikasi sdh bagus tapi untuk bantu driver mohon sistem segera perbaiki AUTOBID nya...biar driver makin nyaman bekerja..;;;
Gio Vercelli;1;Sistem Autobid aja.gak usah di gabungkan dengan mode online!Kembalikan sistem seperti dulu. Aplikator udah gak jelas masih di pertahankan.👎👎.aplikator bikin rusak sistem indrive😢. Bukan makin bagus malahan makin hancur😔. sekedar masukan agar aplikatornya di ganti aja.dengan adanya sistem online sehingga orderan harus di cocol,dapat membahayakan Driver saat mengemudi di jalan.mohon pertimbangannya. aplikator yang hanya tau setting tapi gak ngerti keselamatan Driver di jalan!!sistem bobrok;;;
Fadly Rahmansyah;1;Mohon di ubah orderan jangan costumer yang memilih tetapi server,ketika costumer mencari driver terdekat server lah yang memilih dan sudah tidak boleh tolak driver lagi #mohon di baca dan di tanggapi;;;
VistaS channel;1;Saya sebagai custamer kecewa.Kenapa pengemudi jauh trus waktu terlalu cepat? 1.5km tapi waktu 2menit? Trus driver juga biasa saya ambil sudah tidak ada dalam room? Sistem sekarang tidak bagus. Pakai yg otomatis dapat selalu jauh. Saya kecewa dengan sistem sekarang hanya membuat kami custamer jadi terlambat. Semoga kedepan sistem kembali jadi yg baik.;;;
Nudi Mamonto;1;setelah di update malah makin kacau autobit malah cuma jadi pajangan di menu app ngak guna di nyalakan ,tim IT gapain aja si ?????;;;
Vina Leviana;1;payment sudah melalui ovo tapi driver bilang tidak terima dana nya, sedangkan saldo di ovo sudah berkurang dan driver tetap minta payment lagi. tolong di perbaiki lagi jika memang kendala dari aplikasi bukan karna soal uang nya tapi bikin sya malas pakai aplikasi indriver jdi semakin berkurang.;;;
Ello Iriana;1;"APK BAGUS AKAN JADI RUSAK KALAU DI TANGAN ORANG YANG SALAH !!! NOTE : Untuk nada dering nya tolong balikin ke awal atau ke pertama..Nada dering sekarang kalau masuk orderan suara nya kecil dan tidak kedengeran kalau di jalan DAN untuk apk sebenar nya bagus tapi sangat di sayangkan selalu di rubah"" dan akhir nya apk jadi rusak.";;;
Dybrong;1;"Ini indriver arahnya mau kemana sih? Dari fitur call ke cs ga berguna, autobid system yang ga pernah beres, notifikasi perjalanan yang delay/telat muncul di tampilan untuk beberapa driver, sampai ketika masuk lelang tiba tiba mental sendiri. Keunggulan kalian dari oplikasi ojol yang lain cuma harga murah untuk costumers doang. Padahal dulu udah oke dan bisa bersaing, kenapa sekarang serba kacau. ""Jangan memperbaiki sesuatu yang tidak rusak"".";;;
Rizky Abjul;2;makin ngaco sistem nya, autobit sering eror dan cocol pun sering eror kadang yg dekat gk masuk di layar, makin lama makin gk bener nih apk nya;;;
Jenix Rampen;3;Masih bnyak yg mengunakan mod dan macro, kami yg akun² VETERAN sdh sangat sulit mendapatkan order di sklah jumlah yg besar, tolong ADM INDRI di perhatikan dong. Thanks🙏;;;
ANDREAN MERAHATI OFFICIAL;4;hampir setiap semua sikap drivernya.. sangat ramah humble... the best lah pokoke.... pertahankan terus sikap2 tatakrama yg sopan, baik dan humble untuk driver dari in driver... mantapp;;;
Guntur Hadi;5;Saya driver ride, berharap ada tarif batas bawah minimal Rp.12.000,- untuk jarak terdekat (5 Km Kebawah). Dengan tarif tersebut indrive masih bisa bersaing dengan kompetitor, sebab tarif batas bawah yang saya sarankan masih sangat terjangkau dan dibawah tarif normal kompetitor. Terimakasih;;;
Bachtiar;5;setelah diupgrate malah offline terus ...tolong solusi nya....dan dilayar bawah ada les merah dgn tulisan ! info lokasi anda di perlukan ! ....dan ini sudah hari ke 6 saya tidak narik ....sekali lagi tolong di bantu....tq;;;
Mas Iman;1;(11 tahun betjalan)... Beberapa hari terakhir, kayaknya apk indriver lagi keserang penyakit parah, Autobid tidak berfungsi, di cocok tidak bisa, gimana mencapai target orderan aja gak dapat...;;;
Ennike Purba;5;driver nya td cerita sama saya.. sering terjadi pemberian ulasan sepihak . dan sering juga terjadi di alami abg driver nya orderan fiktif... saya sangat prihatin dengan aplikasi ini.. tolong di kembangkan lagi. Supaya customer tidak semena mena memberikan ulasan yng negatif terhadap Driver.. trima kasih;;;
Ig_Jat eye;2;Dari pagi sampe malem udah di Autobit yg nyangkut cuma 2, selebihnya JARAK PICK-UP 10 - 15 km , 2- 3 kali lipat JARAK ANTAR. 20 jam ya cuma 2 itu yg nyangkut ☹️ begini boro2 balik modal bensin .;;;
Radida Rifqi;1;Sudah 2kali menggunakan kurir, barang yg saya kirim hilang, tidak diterima oleh penerima, chat langsung di tutup oleh driver. Dan ongkir sudah bayar di awal saat pick up barang.;;;
Deni adi Saputra;4;Sejauh ini masih blm di kasih orderan yg sangat mudah .padah lokasi titik jemput nya ga terlalu jauh..Tpi sangat sulit sekali dapet orderan masuk;;;
Joevane;3;Bolak balik unistal...apk eror gara² masuk kependaftaran kurir...daftar kurir ko driver motornya jd ga aktif , ga ada notif cs masuk order ..giliranlari kedukungan responya lama buangets dah gitu tetap ga berfungsi seperti sebelum daftar kurir malah motor brubah data sedang proses verifikasi kaya baru daftar batu...seharian ga narik gara² nunggu akun kembali aktif😭😭😭😭please dong gercep dikit agen nya;;;
Tio Chandra Muharram;2;Indriver sekarang suka error, kmrn saya kira kuota saya yg abis rupanya emang indriver bermasalah.. Sampai sekarang pun masih aja suka error.. Dan harga pun tidak sesuai dengan perjalanan, semoga pihak indriver bisa lebih baik lagi;;;
johan rahmadsyah;1;Aplikasi gk berbobot. Masa' driver yg rating tinggi aja yg dapet orderan. Driver pemula gk dapet2. Masih bagusan aplikasi kuning. Hah !. Selamat tinggal lah indriver aplikasi gk ada gunanya;;;
Vidya Salwa;5;kenapa ya skrg tuh malah sering muncul driver yg lebih jauh dlu?!. soalnya itu tuh jd ga efektif dan bikin telat sampah tujuan, untuk customer yg ga paham gabakal ngerti kl mau dptin driver terdekat itu d tunggu dlu apalagi orang tua. kembali ke sistem awal aja,, evaluasi nih;;;
Vinsen Chandra Wijaya;1;Aplikasi yang terburuk dalam ojek online, katanya bisa ditawar tapi tawarnya cuma bisa kurang seribu saja, percuma buat apa tawar ujung ujungnya sama aja ga ada bedanya nyesel saya pakai aplikasi ini;;;
Alif;1;Sebai Mitra (driver yg lumayan lama 2 tahun lebih) dapet verifikasi ga jelas yg dmn berkas udh jelas sama malah d suruh verifikasi lagi. Verifikasi nya 1 1 pulak yg bikin lam untuk menunggu. Tim verifikasi nya mohon di koreksi lagi itu MATA NYA.;;;
Rifky Yuda;2;Untuk tim IT nya. Tolong jangan banyak di utak atik sistemnya. Masih mending d utak atik jadi membaik, lah ini jadi makin ngaco-_- Perasaan aplikator lain ga sering d utak atik tpi aman2 aja.;;;
Randy Baros;2;Tawar otomatisnya selalu saja tidak berfungsi, ayolah min...bikin baguslah...!!!;;;
Randy Baros;1;Halo min...mengapa tawar otomatis nya selalu bermasalah ??? Tiap jam begitu, tiap hari begitu...yang selalu muncul hanya orderan yang jauh aja, yang dekat tidak ada yang masuk....Tolong min di perbaiki.....;;;
Ryan Tanaka;5;Tolong buat pemesan order fiktif di block akunya dan Juga gps maps nya di perbaiki supaya tidak nyasar salah titik penjemputan;;;
Roland Hontong;1;Sistem semakin kacau,, setiap Minggu minta update bukan lebih baik tapi lebih hancur sistemnya... Apa gunanya admin kalo tidak bisa bekerja dengan baik,, atau admin hanya makan gaji buta...;;;
Ripqi Anugrah;4;"Saran, tolong untuk mode pnhemat saya harus bisa di pake (diaktifkan) soalnya setiap di aktifkan pasti selalu tidak bisa menerima orderan, ""tolong perhatikan kenyamanan mitra"" walaupun kenyamanan dan kepuasan penumpang no satu tapi jangan lupakan jasa mitra yang bela belain siang malem selalu online.";;;
Aditya Dochmi;5;aplikasi sudah keren tapi,kasian buat pemula susah dapat orderan,dikarenakan sudah banyak yang menggunakan apk tambahan(MOD);;;
Ricko Sumolang;1;Klo aplikasi udah bener gak usah di utak-atik idiot , sistem autobid ngaco kadang bisa kadang gak bisa , suara notif kek bikin ngantuk, idiottt banget;;;
naila Lidya;1;Indriver aplikasi ojol terburuk penguras tenaga...hanya mau keuntungan sepihak para driver di bikin siksa dan habiskan waktu dan bensin aja sungguh sangat menjengkelkan aplikasinya tiap hari di bikin perubahan gak ada perubahan malah di bikin siksa terus menerus😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡;;;
ayen maradesa;1;Semakin banyak update, Aplikasi semakin buruk,susah dapat order penghasilan semakin menurun;;;
Samuel Tobing;5;Makin lama makin seram indivier.dikota pun aku gak dpt orderan,bunyi pun tidak,autobid nya gak guna. Cocok nya mogok kerja dlu indivier ini, seluruh kota medan,biar tau dulu dia.😡😡😡😡;;;
Endang Suhendar;1;Aplikasi aneh,orderan baru diambil,penumpang blm di jemput ,orderan di batalkan oleh driver atau penumpang ,saldo kredit driver sudah terpotong,rakus sekali,seharusnya di potong setelah pekerjaan selesai,seoerti aplikasi tetangga supaya tidak merugikan driver,walaupun di akhirnya di kembalikan apabila penumpang yg cencel,tapi sangat lama,mohon di tinjau dan di perbaiki;;;
Fadhil Rapids (Fadil);1;Kenapa di HP saya xiaomi note 5 tidak kompotible yg sebelum aman2 saja. Tiba2 apk minta update fail driver setelah di update tidak bisa onbid. Sampai tunggu 24 jam masih saja belum bisa masuk akun driver saya. Dan sampai sekarang play store utk apk indriver tidak ada utk di instal. Trima kasih mohon perhatiannya.;;;
Ari Bowo Mukti;5;Tingkat kebutuhan driver dan jumlah order/permintaan mohon ditinjau lgi khususnya wilayah Malang Raya. Sistem selalu di upgrade trs utk bisa menghalau pengguna aplikasi nakal Blokir aj pengguna aplikasi yg tdk resmi.;;;
Farlan Talumepa;2;Aplikasi smakin lama smakin jelek..autobit susah...cocol jga skrg susah...tolong di perbaiki;;;
Cap Kuntji;3;sudah ok tapi masalahnya jarak 300 meter dekat dari saya harus nyocol udah berapa kali bosku otomatis gk berfungsi.;;;
Sugiman Sugiman;3;Keenapa kok sudah 2 hari ini gak bisa di on kan,suruh aktifkan lokasi pada hal sudah aktif tp tetap tdk bisa on aplikasinya;;;
Sinta Doank;5;harga terjangkau,driver nya cepet datang nya,sopan pokok nya good job dech,,,makasih indrive membantu banget🙏🙏🙏;;;
Andreas Taher;5;Di versi kemarin terdapat bug. Dimana orderan masuk tapi tak muncul di layar beranda. Alhasil harus buang tab dulu baru buka lagi muncul lah ordernya. Semoga kedepanya semakin stabil dan autobidnya normal seperti dulu. Dimana peringkat berperan penting dan jarak utama nya di podium atas. Terimakasih;;;
Mohammad Safroni (Shapron);5;Aplikasi yang sangat bagus sekali, tapi tolong tawar-menawar nya di hilangkan, karena terlalu lama dalam bernegosiasi, yang kami mau sekali cocol ambil, harap untuk follow up. terimakasih.;;;
Yuliana Bandung;1;Update terus2an tidak ada perubahan kan TOLOL... DARI SIANG SAMPE MALAM PADALARANG CIMAHI. CIMAHI PADALARANG. AKUN SAYA TIDAK MASUK LELANGAN TOLOL BANGET. INDRIVE INI NGASIH TARGET PENCAPAIAN TAPI TIDAK DENGAN ORDERANNYA.. MIKIR!!;;;
Nan's Nur'Aini;4;Dengan harga yang lumayan lebih murah daripada yang lain, Terimakasih,Ini Sangat membantu untuk transportasi disaat saya pergi pulang kerja, Tapi sering error petunjuk lokasinya dan waktu yang ditampilkan sering tidak sesuai.;;;
Muhammad Syariful Aziz;4;Maaf sebelumnya,untuk layanan tolong kasih jarak penjemputan sesuai tarif karna sering dapat orderan lumyan jauh lebih dari 1 km ga sesuai dengan ongkirnya,mohon untuk di beri orderan yg terdekat;;;
fitri wibowo;1;Gimana mau dapat pengalaman sama frekuensi operasi yang bagus.klu orderan aja selalu ditolak sama kalah lelang mulu,makin lama makin gak enak nih aplikasi;;;
Anung Suprayetno;5;Punya rating bintang 5 dan prioritas sangat tinggi tidak jaminan mudah mendapatkan orderan. Seharusnya dengan level yang sangat bagus seharusnya lebih mudah mendapatkan orderan. Jika ditanya kepada tim dukungan jawabannya ini sistim bidding jadi penumpang yang memilih driver yang disukai. Betul... Tapi bagaimana mau dipilih, yang level tinggi tidak dimasukkan dalam daftar bidding... Kalau dicermati sepertinya ini pemerataan orderan. Percuma lah kita punya rating dan prioritas bagus.;;;
Andri Handika;5;Apk selalu ada pembaruan untuk meningkatkan kinerja dengan maksimal, kalo bisa setiap masuk lelang hanya 3 driver , ini 9 driver masuk lelang jadi kebanyakan driver susah dpat order. Tks;;;
Efi Yunari;5;Saya mulai merasakan tidak nyaman dengan system indriver yang sekarang,kenapa selalu berubah dan selalu ada upgrade apk sedangkan penghasilan saya bukannya naik malah turun drastis;;;
Dharma Surya;5;Curhatan seorang indrive ini aplikasinya kurang jauh ngasih oderan udah lokasi saya dimna dapat oderan nya jauh kurang jauh mau gak mau saya kesana pake batas waktu pulak tuh nanti terlambat dari waktu yg di tentukan tiba tiba oderan di batalkan yg lebih kasihanin udah pertengahan jalan,,,,bro ini nyawa bukan galon air yg habis bisa di isi ulang kan gak mungkin kami para berkendara ini balap balap di jalan sambil liat handphone... Salam dari kami pencari nafkah 🙏1 lagi hapus harga 9rb GK GUNA;;;
CHANEL PROPERTY MALANG;5;Ketika mendapat order otomatis aplikasi tidak tampak di layar hp menggantikan aplikasi yang lain jadi sering gak tahu kalau dapat order;;;
23-104 Dio Dormansyah Natanael Purba;3;"Kenapa untuk tarif R4 sekarang jadi 3500ribu/km min???Sebelum"" nya bisa dapat rata"" 4000-5000ribu/km bersih untuk driver nya Gmn solusinya? Lokasi untuk di Sumatera Utara";;;
franco balado {69};1;ditelepon sulit terhubung & di chat malah centang 1. mending fitur menelepon WhatsApp adakan lagi supaya bisa menghubungi penumpang langsung. 👎🏼;;;
Rahmat Anggie;1;Dana akun tetap di potong karena driver membatalkan order.. Kecewa dengan sistem yg merugikan driver. Kejadian kesekian kalinya, penumpang membatalkan order,,saldo driver tetap di potong... Ok silahkan ambil,tapi saya tidak ikhlas;;;
Opink Putra;1;Aplikasi gak jelas,hanya dalam hitungan jam dari 4,98...tiba tiba jadi 4,91..entah apalah ukurannya gak jelas asli Mana tarif gak pernah up lagi buruk sekali, seperti nya saya akan mengaktifkan kembali GRAB DAN GO CAR lagi.🙏🙏;;;
Heri Utama;3;Aplikasinya sekarang jdi tdk nyaman gak seperti sebelumnya, klo udh pesan draiver terus draivernya udh ketemu aplikasinya suka keluar sendiri dan klo draiver minta dibatalkan menu pembatalannya gak muncul, mau cari lg gak bisa, saya jdi sering dikecewa kn sama aplikasi ini padahal saya pengguna lama.;;;
Alfi Husain;4;Aplikasi sudah cukup bagus tetapi untuk mode autobite,sebagaimana pengemudi tidak bisa memilih order dan menawar harga,seharusnya penumpang juga tidak bisa memilih pengemudi dan menawar harga biar adil..;;;
SANDYTA NENDA MARISKA;1;Buat para indrive tolong ya kalo sya pesen mobil harus pada bisa soal ya yg terdekat aja di pesan atau order ya pada gamau terus sering ga muncul terus buat apa ada pengguna car tapi ga bisa terus buat sekitaran bandung..;;;
Akbar Abdul Kahfi;5;bagus setelah update rating gampang naik dan costumerpun jadi lebih percaya ketika rating bagus Alhasil jadi ngga susah cari pelanggan Makasih indrive;;;
fauzan afrialdhy;1;Ah IT nya Jelek, sistemnya amburadul. Fitur Autobid bekangan ini juga sering error dan tidak berfungsi, mod dan macro merajalela jadinya. Herran, kayak gak bisa kerja. Gak usah sok sok ikut² sistem apk sebelah, jangan banyak mode percobaan ini dan itu;;;
Adhi Iman;1;Makin sini makin busuk. Driver nya pada pilih pilih sering dibiarin nunggu lama terus dibatalkan sepihak karena argo nya kecil. Udah di konplen bukannya makin bagus malah makin busuk. Ga lagi pake indrive;;;
Rian Indriyani;3;Hallo mungkin untuk driver nyaa sediain buat kembalian yaa, pas mau bayar gada kembalian masa kita juga yang harus nuker in, mohon ditingkatkan lagi, apalagi kan kalo misalkan ujan kita turun trus harus nuker in uang nya, kan kita pelanggan harus nya di layani dengan baik, bukan malah kita yg ribet nya,;;;
purnama ampur26;1;Pengisian saldo lewat qriss di tolak padahal mbaking udah terpotong hubungi cs selalu mau di proses sudah seminggu di chat seperti itu aja belom ada kemajuan sama sekali;;;
Jeje Je;1;indriver,aplikasi nya kurang meyakinkan,kadang terima otomatis jadi ,kadang tidak ,trus hitungan kurang bagus,update terus aplikasi,perlu di tingkatkan;;;
Gilbert Gibe;1;"Bisa minta tolong agar nama penumpang di perlihatkan..jangan hanya di cantumkan nama ""Penumpang""....tolong di kasih liat namanya Kalo dari driver yang kasih ⭐1 pasti penumpang langsung tau itu driver mana...soalnya ngga mungkin dia naik hampir 20 driver setiap hari.. Tapi kalo penumpang yang kasih ⭐4 ke bawah...kita minimal bisa tau penumpang mana yang kasih bintang dan kita bisa ingat dan koreksi kesalahan kita.";;;
dicki putra;3;Yang bener aja, titik penjemputan lebih jauh daripada jarak tujuan pengantaran. Mana maps nya ngasal, tujuan kemana di arahin kemana. Harus berkali kali refresh maps nyaa;;;
A Suhe (AlphaSiera);5;Alhamdulillah....dari pagi jam 5-6 sampai sore magrib dapat 30 0rder dengan notifnya saja....selebihnya : Orderan kadaluarsa,Orderan tidak aktif,Orderan di tolak.... Terima kasih Indriver 🙏 sehari dapat 1 atau kadang 2 order.bahkan orderan dari 3 km-10 km juga muncul dilayar permintaan;;;
Niman Adrianto;5;aplikasi bagus tarif juga terjangkau, pencarian pengemudi cepat dan bisa pilih mantapp ⭐⭐⭐⭐⭐;;;
Richel Carlsen;2;"aplikasi Indriver masih payah,masih banyak driver yang memakai mod dan macro dan menambah ngerut hp mereka sehingga driver"" lain tidak bisa lagi mendapat orderan di atas 80up. mohon di tindak";;;
